State,Category Of Video ,Builder Name,Project Name,City Name,Title ,Youtube Link 
Haryana,Project showcase,Eros Group, Eros Corporate Park,Manesar,Eros Group,https://youtu.be/5JxHecqagcU
Haryana,Project Showcase,Eros Group, Eros Corporate Park,Manesar,Eros Group,https://youtu.be/l3V23fWgQXg
Haryana,Route Video,Birla Estates,Birla Arika,Gurugram,Birla Arika,https://youtu.be/r2HoGuJtvv8
Haryana,Route Video,,L&T Realty ,Gurugram,L&T Realty ,https://youtu.be/uYq-G5lVSK8
Haryana,Route Video,Anant Raj Corporation,TARC Ishva,Gurugram,TARC Ishva,https://youtu.be/w9VlhBllJdQ
Haryana,Route Video,Experion ,Experion Windchants,Gurugram,Experion ,https://youtu.be/Fi4n5hQVMxA
Haryana,Route Video,, Devasya Bharat,Gurugram,Devyasa Bharat,https://youtu.be/h29c4FZJaQg
Haryana,Route Video,,TARC Ishva,Gurugram,TARC Ishva,https://youtu.be/3sn4Th6epSs
Haryana,Route Video,,ROF Pravasa,Gurugram,ROF Pravasa,https://youtu.be/Bus7IbOOqV0
Haryana,Route Video,Shapoorji Pallonji,The Dualis ,Gurugram,The Dualis ,https://youtu.be/vH8VbFKgGz4
Haryana,Route Video,Hero Realty ,Hero Homes ,Gurugram,Hero Homes ,https://youtu.be/8sN5WFu7oEA
Haryana,Route Video,,TARC Ishva,Gurugram,TARC Ishva,https://youtu.be/keL4xoLprAw
